557.566 567.124 577.552 575.727 583.992 587.595|5.24156 3.81887 4.1358 4.18358 2.79978 2.43104
597.997 607.184 605.255 610.195 622.168 618.91|4.16792 3.45899 4.20194 3.67057 3.15284 2.54569
570.104 584.25 582.335 595.82 594.827 608.909|5.74193 3.34816 5.65765 2.85727 3.61016 2.7707
561.902 564.591 575.562 576.242 580.657 582.329|3.86365 3.23636 3.63968 3.0918 2.65371 2.19895
572.592 586.862 588.193 598.649 603.231 602.151|4.11211 3.51128 4.00193 3.47477 3.20296 2.1715
571.81 576.591 580.338 580.954 581.755 585.741|3.05133 2.78239 3.93151 3.1305 2.75427 2.29459
560.698 568.159 565.023 573.912 571.914 575.807|4.58356 3.11259 4.83393 4.35163 3.57034 2.31063
564.902 578.319 574.373 579.731 583.017 580.956|4.12425 2.88755 2.99825 2.60554 3.07335 1.73002
577.489 581.216 592.037 587.524 594.566 596.215|2.76408 3.33053 3.69185 2.95547 3.18935 2.05876
575.975 575.968 584.452 588.091 588.984 592.131|3.62058 3.41181 3.99509 3.39427 3.00935 2.46007
563.334 570.129 575.433 575.836 577.451 575.036|4.48729 4.04222 3.22961 3.15029 3.05511 2.15217
551.994 568.391 565.617 573.634 572.019 578.206|6.26938 3.25696 5.00979 4.60681 3.20966 2.18371
562.456 564.915 565.535 577.043 573.215 573.377|3.93162 3.37245 5.40084 3.19552 3.43388 2.35333
577.246 578.611 583.684 585.668 586.812 593.885|3.25859 2.70356 3.45936 2.79202 3.36316 2.35014
560.419 560.316 559.379 564.369 572.397 574.711|3.36584 3.17511 4.09035 3.31851 2.73153 1.91662
568.872 573.044 572.968 584.861 579.549 583.793|3.69187 2.55032 3.6612 3.16988 2.90796 2.16263
573.038 577.639 577.012 586.256 581.471 587.282|3.02994 2.82196 3.42219 3.05138 2.94914 2.33897
561.024 568.38 565.329 573.501 575.038 575.743|3.71378 2.46927 3.21732 2.63655 2.44788 1.88279
571.325 567.366 566.038 575.1 572.039 578.279|2.9366 2.50552 3.66773 2.85205 2.61112 1.8297
564.126 567.335 577.297 576.88 580.899 583.472|3.83683 3.29925 4.0849 3.3469 4.41979 2.05833
568.062 575.128 574.193 573.712 578.067 584.176|3.80497 2.63679 3.15594 5.56523 2.97862 2.12684
558.912 566.384 559.948 566.595 572.33 577.523|4.89014 3.59574 6.19876 3.56993 3.76373 2.12509
552.399 564.694 568.789 573.038 569.481 573.344|5.26479 2.87269 3.58323 3.6237 3.17696 2.03958
557.039 561.687 564.763 566.131 567.506 568.363|5.61443 3.65725 5.01573 3.69133 3.94379 3.35869
549.489 562.314 555.852 564.437 568.859 563.685|4.94154 2.73682 4.09052 3.29533 2.86634 2.35038
551.144 556.455 558.849 560.755 559.371 558.673|4.27467 2.68882 3.61378 4.10581 3.73334 2.29618
576.482 582.583 579.779 586.95 586.73 583.518|3.1954 2.37571 3.27916 3.05922 2.3023 1.82504
563.05 571.691 571.832 577.668 582.554 577.16|3.90178 2.81009 3.61421 3.06224 2.77376 2.40869
561.278 564.398 568.674 569.882 580.716 577.321|4.25685 4.39183 3.83657 4.30631 2.79373 2.5129
558.804 563.34 571.789 565.453 571.619 572.408|5.11674 4.87258 3.91972 3.78237 3.63528 2.14101
567.102 577.824 579.991 592.644 584.588 598.239|7.19841 5.25755 6.44371 5.20634 5.9505 2.57646
571.466 578.473 576.884 587.238 587.59 586.734|3.03094 2.91275 4.61204 3.72443 2.78595 2.55683
