538.621 546.303 556.413 541.647 541.505 547.424|7.17103 4.75383 4.35323 6.39154 5.68736 3.35962
587.552 592.609 582.422 583.354 594.547 590.141|5.23857 3.78377 6.14277 5.4328 3.16961 2.58443
556.37 559.285 559.671 556.516 551.974 558.428|7.06381 4.78159 6.0076 5.79048 6.52073 3.1159
553.841 548.82 556.035 558.847 549.142 549.724|4.42175 4.49941 4.63553 3.28199 4.52134 2.90303
561.721 562.357 557.929 568.605 572.892 557.587|4.76858 5.53069 6.69767 4.01094 3.31936 3.50097
566.13 567.372 565.481 565.425 565.849 563.829|3.25005 2.8956 4.93818 3.96135 3.26672 2.94638
554.945 555.612 554.244 557.418 553.829 550.371|4.51602 3.97786 5.67369 4.91125 4.74921 3.67158
559.16 569.571 563.958 567.94 570.443 564.646|4.45244 2.78533 3.7536 3.07278 2.9102 1.99887
570.017 565.572 573.242 566.275 568.694 567.694|3.24243 4.1908 3.46349 4.32505 3.15537 2.72781
569.006 562.993 565.896 566.346 564.004 560.644|3.65552 4.26329 4.05666 3.73328 3.82654 2.94528
558.357 566.069 568.635 566.189 566.409 562.666|4.71983 3.78676 3.48129 3.29627 3.41174 2.41557
543.726 552.89 553.044 554.473 548.375 550.851|7.14348 4.25852 5.22505 5.43645 4.43889 3.25178
550.402 552.728 550.041 561.645 556.489 552.185|5.48584 4.44257 7.24019 3.91656 4.43016 3.61955
569.927 565.459 563.739 567.613 563.186 566.151|3.35181 3.27393 4.67668 3.28544 4.21871 2.66985
552.476 543.129 534.056 542.875 549.174 548.94|3.87942 4.6908 7.64628 5.26353 3.76018 2.54191
559.23 561.417 564.152 569.613 560.106 559.976|4.17943 3.18486 3.90585 3.47295 3.6761 3.03067
567.209 566.665 566.03 568.409 558.309 565.949|3.14503 3.18232 3.72677 3.71784 4.82287 2.38204
553.203 558.807 551.376 554.389 557.312 555.531|4.34815 2.58709 4.07481 3.75992 3.06997 2.29749
566.384 561.552 554.943 564.456 560.536 562.725|3.11571 2.55834 4.70435 2.97339 2.9677 2.14668
555.067 552.326 554.395 551.004 552.114 549.508|4.5223 4.57296 4.93304 5.72946 5.41205 3.50731
559.906 563.76 560.139 556.962 558.048 559.608|4.54901 3.02308 4.19749 7.00848 4.24313 2.8901
547.628 551.948 549.635 542.397 548.663 548.462|6.19101 4.60454 5.03856 5.72065 4.83564 3.09859
543.312 553.302 556.047 557.335 543.379 553.515|6.42908 3.52301 4.42575 3.93938 5.74561 2.60394
553.884 554.94 554.714 555.488 550.709 546.632|5.27214 3.9157 5.02734 4.33567 5.57633 4.53192
545.521 554.794 545.885 551.93 557.876 548.24|5.00808 2.81723 4.87655 3.92207 3.03224 2.83922
547.32 550.821 553.66 551.633 555.39 551.802|4.43085 3.06211 3.89861 4.55735 3.44322 2.41936
574.518 579.602 574.191 578.539 579.158 574.749|3.13818 2.23656 3.29078 3.209 2.5781 1.88826
556.329 562.302 559.243 563.172 568.41 554.74|4.42076 3.25802 4.00481 3.87312 2.83497 3.15098
553.383 551.516 552.563 547.223 559.273 551.405|4.87748 4.83688 4.84861 6.04309 3.55194 2.99405
555.197 556.485 558.951 553.891 557.758 557.25|4.97742 4.6283 4.36805 4.68422 3.97366 2.58411
552.581 560.752 560.304 567.636 558.714 558.135|8.55554 5.43155 6.59439 4.72432 5.42687 3.53893
565.634 566.618 565.769 565.768 565.848 561.985|3.4483 3.09563 3.75205 4.56494 3.90765 2.88224
