90.783 90.3452 90.955 89.9455 90.2003 90.3108|0.175006 0.124004 0.159774 0.143037 0.132667 0.0926339
79.1049 78.9534 78.5343 78.4771 78.4655 79.1021|0.0180829 0.0150265 0.0164625 0.0163085 0.0153686 0.0110153
78.1321 78.2996 77.0308 76.7887 76.5934 78.3136|0.195197 0.126707 0.143951 0.13954 0.13142 0.0977685
143.818 142.876 142.877 143.208 143.374 143.387|0.0135055 0.0122726 0.0139299 0.0143375 0.0134641 0.00959148
77.1187 77.022 76.3954 76.3016 76.2921 76.9725|0.0229794 0.0171989 0.0187406 0.0175586 0.0158138 0.010931
76.2854 76.0134 75.4841 74.9607 74.7855 77.0762|0.130413 0.105937 0.145721 0.142265 0.164491 0.143647
141.507 140.174 140.222 140.131 140.97 142.03|0.154317 0.113653 0.145815 0.141855 0.201027 0.201917
75.6493 75.6345 75.0347 74.4734 74.7714 76.0254|0.106251 0.0990154 0.110782 0.112171 0.12574 0.105239
76.8264 76.3823 76.0148 75.8883 75.8807 76.5279|0.0202924 0.0159295 0.017839 0.0164511 0.0148242 0.010059
77.798 77.1891 76.9503 76.8606 76.9227 77.6732|0.0194222 0.0174016 0.0212885 0.0217151 0.0209065 0.0162903
76.5603 76.0196 75.7006 75.6381 75.7578 76.5657|0.0357066 0.034721 0.0429643 0.0468187 0.0475361 0.0395386
75.9139 74.8595 74.9084 74.8528 74.8797 75.5709|0.0812931 0.0716074 0.0935184 0.0961512 0.0982751 0.0794258
76.2048 75.6418 75.4848 75.2163 75.5059 76.3109|0.0483595 0.0527589 0.0688419 0.0803532 0.0869906 0.0742725
77.618 76.8663 76.7022 76.662 76.8485 77.3447|0.0210125 0.0188481 0.0225328 0.0227542 0.021375 0.0157489
75.6519 75.0856 74.7676 74.7225 74.7593 75.3001|0.0351452 0.0305997 0.0332986 0.0310346 0.0273208 0.0182771
76.3094 75.7009 75.5449 75.4742 75.6485 76.104|0.0403832 0.0389958 0.0479501 0.0495752 0.0478458 0.0355568
76.8306 76.1854 75.9984 76.0357 76.1572 76.6997|0.034834 0.0346273 0.0428189 0.0446664 0.0435653 0.03375
76.4925 75.9171 75.8789 75.8045 75.9552 76.4277|0.0367943 0.0383581 0.0487135 0.0525306 0.0518917 0.0408452
76.5928 75.8552 75.6136 75.6718 75.9009 76.3494|0.034075 0.034559 0.0420555 0.0438032 0.0426729 0.0324631
76.0909 75.5393 75.3823 75.3116 75.6347 75.9551|0.0514706 0.0547735 0.0693483 0.0732527 0.0740488 0.0571374
77.4943 76.7666 76.6077 76.5576 76.8092 77.3438|0.0227831 0.0218111 0.0259369 0.026397 0.0252924 0.0190658
75.9438 75.4166 75.2798 75.189 75.5578 75.9596|0.0571344 0.0664519 0.0866706 0.0944209 0.101023 0.0812135
75.76 75.3195 75.0545 75.127 75.1183 75.6967|0.0595712 0.0648427 0.0819118 0.0887358 0.0911401 0.0691375
75.6277 75.068 75.0043 74.4573 74.7026 75.6476|0.069002 0.078909 0.100309 0.110085 0.107754 0.084632
145.817 147.303 143.417 144.794 144.769 142.585|1.15483 2.55495 1.6312 1.58749 1.10501 0.363661
249.8 234.983 236.869 241.291 244.504 239.768|3.4913 2.50766 4.30526 3.25075 3.19775 2.04937
77.7957 77.2716 77.1768 76.9092 77.2154 77.8834|0.0322389 0.0354156 0.0459236 0.0498537 0.0509303 0.0426788
76.985 76.3453 75.9739 75.8836 76.071 76.8635|0.0439775 0.0473618 0.0592659 0.0603437 0.0583145 0.0459484
147.952 146.099 146.118 146.554 146.952 147.216|0.0125152 0.0117952 0.0137566 0.013814 0.0130856 0.00932102
265.754 259.527 249.676 259.904 267.718 260.835|2.38914 4.60814 2.69026 2.97869 4.35262 2.22137
203.588 201.924 201.22 201.065 200.924 198.995|0.0179541 0.0229723 0.0261121 0.0348107 0.0333811 0.0414587
85.6163 86.2111 87.5579 85.5212 86.1544 85.7472|0.112665 0.11994 0.210212 0.14144 0.170179 0.103477
