90.6881 90.57 90.9995 89.7645 89.7303 89.8969|0.175117 0.151706 0.201615 0.178012 0.177588 0.118691
78.1919 77.1416 76.1788 75.4348 74.8247 74.6727|0.0187857 0.0159291 0.0188339 0.0194486 0.0192152 0.0147582
77.8653 77.668 75.962 75.448 74.5934 76.6052|0.213463 0.14204 0.170985 0.164091 0.176366 0.125061
143.262 141.743 141.226 141.042 140.731 140.26|0.0138797 0.0125589 0.0146158 0.0148537 0.0141408 0.0103304
76.5146 75.7145 74.6853 74.0429 73.516 73.6671|0.0234832 0.017891 0.0196325 0.0186849 0.0170586 0.012038
75.6742 74.991 73.4866 72.7642 71.5873 74.3619|0.129648 0.113915 0.148203 0.178304 0.211382 0.188651
140.12 138.108 137.142 136.739 136.298 135.797|0.1214 0.0868027 0.105581 0.111529 0.121132 0.0982727
74.6548 73.698 72.5588 71.4654 70.7879 71.505|0.100363 0.0895881 0.107636 0.116102 0.121356 0.10646
76.2541 75.2459 74.3386 73.7001 73.2497 73.3877|0.0205628 0.0164957 0.0182549 0.0173482 0.0156524 0.0108373
76.4875 74.8408 73.7731 72.8441 72.1315 71.981|0.0196836 0.0177877 0.0213649 0.0219017 0.0214431 0.0164145
75.1697 73.4489 72.4255 71.4768 70.7434 70.5166|0.0357838 0.0348109 0.0433786 0.0479032 0.0486271 0.0396567
74.4551 72.4524 71.7156 70.7566 69.9521 69.8374|0.0750449 0.0682058 0.0847537 0.0878481 0.0883067 0.0690957
74.7664 72.8914 71.8925 70.7234 70.2194 69.9852|0.0485464 0.0527795 0.0706292 0.0841573 0.0920836 0.0800808
76.3069 74.5194 73.5476 72.6347 72.0507 71.6267|0.0212699 0.0193123 0.0227229 0.0230875 0.021865 0.0159768
74.7252 73.2314 72.356 71.6124 71.0668 70.7812|0.0357836 0.0307208 0.0347339 0.0324078 0.0290893 0.019528
74.9019 73.0635 72.189 71.1803 70.487 69.9119|0.040524 0.0395942 0.0492553 0.0514204 0.0501592 0.0379799
75.4198 73.4874 72.5503 71.6746 70.9175 70.4011|0.0349174 0.0348927 0.0435583 0.0455996 0.0450694 0.0345156
74.94 72.9512 71.9745 70.8928 70.0817 69.4496|0.0369968 0.0387003 0.0495961 0.0540812 0.0545853 0.0433256
75.1563 73.1201 72.0912 71.2551 70.5895 70.0035|0.0340914 0.0345954 0.0426342 0.0447137 0.043999 0.033659
74.6333 72.7235 71.7015 70.7174 70.0644 69.39|0.0519708 0.0557023 0.0723959 0.0777807 0.0798462 0.0637705
76.0561 74.0617 73.1307 72.1329 71.4679 70.9461|0.0227867 0.0218081 0.0262802 0.0267719 0.0255419 0.0189421
74.5017 72.6125 71.6362 70.6096 70.0643 69.4047|0.0575824 0.0672746 0.0906078 0.100436 0.110851 0.0935918
74.3554 72.6595 71.672 70.864 69.8823 69.4954|0.0597746 0.0658236 0.0853378 0.0929188 0.0995058 0.075915
74.2974 72.5875 71.9685 70.4891 69.8783 69.8965|0.0693765 0.0803469 0.104339 0.116243 0.11605 0.092364
137.674 133.888 131.468 130.188 128.24 124.349|0.306693 0.32799 0.436352 0.417009 0.343302 0.326266
247.856 234.842 231.438 239.726 241.254 237.261|3.20679 2.79744 3.55926 3.18459 2.90994 2.0939
76.2419 74.2762 73.2042 71.995 71.2397 70.9427|0.032116 0.0344763 0.044944 0.0490864 0.0499936 0.0414594
75.631 73.8409 72.8193 71.8133 71.1628 71.0418|0.0441226 0.0481405 0.0606985 0.0618367 0.0601666 0.0478636
147.43 144.966 144.455 144.38 144.368 144.145|0.0130383 0.0124122 0.0147833 0.0148692 0.0143513 0.0106656
264.252 255.983 246.698 257.287 266.332 259.125|2.29055 3.70504 3.20068 3.21551 4.57779 2.29371
203.583 201.791 201.248 201.445 201.429 201.261|0.0181052 0.0202585 0.0240548 0.0238799 0.0224034 0.0158121
85.1128 85.6977 85.2755 83.9695 83.1174 82.7058|0.114633 0.141088 0.18558 0.178185 0.173512 0.121119
