HG_Voie	HG_Nb_Evts_Retenus	HG_R-FWHM-%	HG_Position_PIC_par_rapport_au piedestal	HG_Correction	HG_Piedestal
0,0000	6444,0000	4,8845	1602,1692	0,9855	18192,0000
1,0000	6214,0000	4,7474	1587,0481	0,9762	18213,0000
2,0000	3968,0000	5,1701	1548,0643	0,9523	18200,0000
3,0000	3016,0000	4,9473	1520,7729	0,9355	18206,0000
4,0000	3462,0000	5,4059	1489,9407	0,9165	18206,0000
5,0000	6858,0000	4,9156	1571,2338	0,9665	18192,0000
6,0000	4746,0000	5,3870	1533,9027	0,9435	18200,0000
7,0000	3658,0000	5,5452	1450,4963	0,8922	18224,0000
8,0000	3890,0000	4,8284	1498,4503	0,9217	18206,0000
9,0000	3714,0000	5,4820	1479,7777	0,9103	18219,0000
10,0000	4724,0000	5,7121	1503,0994	0,9246	18213,0000
11,0000	5524,0000	4,7743	1588,3921	0,9771	18200,0000
12,0000	5282,0000	4,8735	1553,2063	0,9554	18187,0000
13,0000	6806,0000	4,6401	1608,5996	0,9895	18217,0000
14,0000	9310,0000	4,6933	1595,4327	0,9814	18201,0000
15,0000	5950,0000	5,1611	1553,6602	0,9557	18196,0000
16,0000	4864,0000	5,6019	1578,8594	0,9712	18214,0000
17,0000	5618,0000	4,8433	1604,8413	0,9872	18218,0000
18,0000	6372,0000	5,5861	1571,5663	0,9667	18218,0000
19,0000	7640,0000	4,3664	1618,7712	0,9957	18188,0000
20,0000	7556,0000	4,4727	1613,2446	0,9924	18202,0000
21,0000	3188,0000	4,1021	1599,6924	0,9840	18200,0000
22,0000	3968,0000	5,7598	1526,2209	0,9388	18227,0000
23,0000	3288,0000	4,8878	1547,5222	0,9519	18231,0000
24,0000	4736,0000	5,3773	1550,9071	0,9540	18213,0000
25,0000	5762,0000	4,3882	1610,7334	0,9908	18211,0000
26,0000	4214,0000	4,4179	1562,2566	0,9610	18216,0000
27,0000	4658,0000	4,8573	1580,5990	0,9723	18225,0000
28,0000	4800,0000	5,1329	1562,3213	0,9610	18180,0000
29,0000	4536,0000	4,4266	1594,0726	0,9806	18207,0000
30,0000	5680,0000	4,3526	1593,0241	0,9799	18208,0000
31,0000	6794,0000	4,3685	1610,7631	0,9908	18214,0000
32,0000	8538,0000	4,5445	1617,8542	0,9952	18268,0000
33,0000	8102,0000	4,6192	1608,5624	0,9895	18259,0000
34,0000	6456,0000	4,4510	1598,9066	0,9835	18259,0000
35,0000	5920,0000	4,8889	1566,2151	0,9634	18261,0000
36,0000	7268,0000	4,7969	1601,6295	0,9852	18266,0000
37,0000	4250,0000	5,2245	1566,1105	0,9634	18279,0000
38,0000	5818,0000	4,7298	1614,1241	0,9929	18235,0000
39,0000	4860,0000	5,3810	1559,5566	0,9593	18275,0000
40,0000	6248,0000	4,6055	1624,0099	0,9990	18247,0000
41,0000	5114,0000	6,0626	1524,9948	0,9381	18276,0000
42,0000	4904,0000	4,8552	1584,2936	0,9745	18265,0000
43,0000	4486,0000	5,6456	1568,0817	0,9646	18287,0000
44,0000	7476,0000	4,4738	1618,4557	0,9956	18284,0000
45,0000	6492,0000	4,4712	1613,6332	0,9926	18260,0000
46,0000	7358,0000	4,3476	1625,6809	1,0000	18284,0000
47,0000	5080,0000	4,8017	1588,8134	0,9773	18299,0000
48,0000	4508,0000	4,4048	1559,2434	0,9591	18271,0000
49,0000	4010,0000	5,3520	1500,8888	0,9232	18258,0000
50,0000	7216,0000	4,7958	1593,0775	0,9799	18272,0000
51,0000	6250,0000	4,9623	1577,2789	0,9702	18239,0000
52,0000	5380,0000	5,5258	1503,4775	0,9248	18271,0000
53,0000	7650,0000	4,7289	1611,4464	0,9912	18292,0000
54,0000	4642,0000	5,7592	1473,6560	0,9065	18256,0000
55,0000	6456,0000	4,8716	1594,2323	0,9807	18296,0000
56,0000	4870,0000	5,2630	1523,8157	0,9373	18275,0000
57,0000	8140,0000	4,6535	1595,7272	0,9816	18282,0000
58,0000	4720,0000	4,7895	1550,7051	0,9539	18259,0000
59,0000	8096,0000	4,5688	1608,9869	0,9897	18266,0000
60,0000	4950,0000	5,1479	1561,8686	0,9607	18265,0000
61,0000	5126,0000	5,3622	1508,3421	0,9278	18276,0000
62,0000	4088,0000	4,6009	1549,2036	0,9530	18263,0000
63,0000	6954,0000	5,2086	1559,4852	0,9593	18265,0000
